"Comment","Designator","Footprint","Qty","LCSC"
"1M","R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20","R_0805_2012Metric","12","C17514"
"4.7k","R7,R8","R_0805_2012Metric","2","C17673"
"470","R5","R_0805_2012Metric","1","C17710"
"220","R4","R_0805_2012Metric","1","C17557"
"2.2K","R3,R6","R_0805_2012Metric","2","C17520"
"10","R2","R_0805_2012Metric","1","C17415"
"33","R1","R_0805_2012Metric","1","C17634"
"74HC4051","U2","SOIC-16_3.9x9.9mm_P1.27mm","1","C9386"
"H11L1","U1","SMDIP-6_W9.53mm","1","C78589"
"10K","RV1,RV2,RV3,RV4,RV5,RV6,RV7,RV8","Potentiometer_Alps_RK09K_Single_Vertical","8","C470295"
"LED","DT1","LED_0603_1608Metric","1","C72038"
"LED","DR1","LED_0603_1608Metric","1","C2286"
"1N4148WS","D1","D_SOD-323","1","C2128"
"100n","C1","C_0603_1608Metric","1","C14663"
"SW_Omron_B3FS","SW1","SW_SPST_Omron_B3FS-101xP","1","C2888769"
